Round Number,Date,Location,Home Team,Goals,x,Goals,Away Team,Group
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Russia,,x,,Saudi Arabia,Group A
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,,x,,Uruguay,Group A
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,,x,,Iran,Group B
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Portugal,,x,,Spain,Group B
1,16/06/2018 13:00,Kazan Arena,France,,x,,Australia,Group C
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,,x,,Iceland,Group D
1,16/06/2018 19:00,Saransk Stadium,Peru,,x,,Denmark,Group C
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,,x,,Nigeria,Group D
1,17/06/2018 15:00,Samara Stadium,Costa Rica,,x,,Serbia,Group E
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,,x,,Mexico,Group F
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,,x,,Switzerland,Group E
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,,x,,Korea Republic,Group F
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Belgium,,x,,Panama,Group G
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,,x,,England,Group G
1,19/06/2018 15:00,Saransk Stadium,Colombia,,x,,Japan,Group H
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Poland,,x,,Senegal,Group H
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,,x,,Egypt,Group A
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Portugal,,x,,Morocco,Group B
2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,,x,,Saudi Arabia,Group A
2,20/06/2018 21:00,Kazan Arena,Iran,,x,,Spain,Group B
2,21/06/2018 15:00,Samara Stadium,Denmark,,x,,Australia,Group C
2,21/06/2018 18:00,Ekaterinburg Stadium,France,,x,,Peru,Group C
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,,x,,Croatia,Group D
2,22/06/2018 15:00,Saint Petersburg Stadium,Brazil,,x,,Costa Rica,Group E
2,22/06/2018 18:00,Volgograd Stadium,Nigeria,,x,,Iceland,Group D
2,22/06/2018 21:00,Kaliningrad Stadium,Serbia,,x,,Switzerland,Group E
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Belgium,,x,,Tunisia,Group G
2,23/06/2018 18:00,Rostov-on-Don Stadium,Korea Republic,,x,,Mexico,Group F
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Germany,,x,,Sweden,Group F
2,24/06/2018 15:00,Nizhny Novgorod Stadium,England,,x,,Panama,Group G
2,24/06/2018 18:00,Ekaterinburg Stadium,Japan,,x,,Senegal,Group H
2,24/06/2018 21:00,Kazan Arena,Poland,,x,,Colombia,Group H
3,25/06/2018 17:00,Samara Stadium,Uruguay,,x,,Russia,Group A
3,25/06/2018 17:00,Volgograd Stadium,Saudi Arabia,,x,,Egypt,Group A
3,25/06/2018 21:00,Saransk Stadium,Iran,,x,,Portugal,Group B
3,25/06/2018 21:00,Kaliningrad Stadium,Spain,,x,,Morocco,Group B
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Denmark,,x,,France,Group C
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Australia,,x,,Peru,Group C
3,26/06/2018 21:00,Saint Petersburg Stadium,Nigeria,,x,,Argentina,Group D
3,26/06/2018 21:00,Rostov-on-Don Stadium,Iceland,,x,,Croatia,Group D
3,27/06/2018 17:00,Ekaterinburg Stadium,Mexico,,x,,Sweden,Group F
3,27/06/2018 17:00,Kazan Arena,Korea Republic,,x,,Germany,Group F
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Serbia,,x,,Brazil,Group E
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Switzerland,,x,,Costa Rica,Group E
3,28/06/2018 17:00,Volgograd Stadium,Japan,,x,,Poland,Group H
3,28/06/2018 17:00,Samara Stadium,Senegal,,x,,Colombia,Group H
3,28/06/2018 21:00,Saransk Stadium,Panama,,x,,Tunisia,Group G
3,28/06/2018 21:00,Kaliningrad Stadium,England,,x,,Belgium,Group G